ID,Service_time,Distance_Residence_Work,Work_load_Average_day,Hit_target,Disciplinary_failure,Age,Social_drinker,Body_mass_index,Perfil_Riesgo,Perfil_Final_IA,Prob_Saturacion,Prob_Inestabilidad,Prediccion_IA,Confianza_IA
25,8,16,254.81750000000002,95.6,0,32,False,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
26,13,26,247.717,95.4,0,43,True,25,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,0.9525969642617962
27,7,42,299.95633333333336,95.16666666666667,0,27,False,21,Saturado Logístico,Saturado Logístico,0.945,0.0,Saturado Logístico,0.9671038712528621
28,9,26,281.79805405405403,94.93243243243244,1,28,False,24,Perfil Estable,Perfil Estable,0.0,0.01,Perfil Estable,0.9600448430493274
29,15,26,243.7386,97.2,1,41,True,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
30,6,27,263.3658571428572,93.71428571428571,1,29,True,22,Perfil Estable,Perfil Estable,0.0,0.015,Perfil Estable,0.9400448430493273
31,9,15,328.018,96.66666666666667,1,50,False,24,Perfil de Inestabilidad,Perfil de Inestabilidad,0.04,0.595,Perfil de Inestabilidad,0.909734892633492
32,29,48,309.1282,92.6,0,49,False,36,Saturado Logístico,Saturado Logístico,0.88,0.0,Saturado Logístico,0.9579976032091365
33,14,25,263.58025000000004,94.79166666666667,1,47,False,32,Perfil Estable,Perfil Estable,0.0,0.005,Perfil Estable,1.0
34,10,10,267.84938,94.62,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
35,14,45,271.219,95.0,0,53,False,25,Perfil Estable,Perfil Estable,0.03,0.01,Perfil Estable,0.9564787978956989
36,18,13,272.2835,94.32352941176471,1,50,True,31,Perfil Estable,Perfil Estable,0.0,0.005,Perfil Estable,0.97
37,11,50,261.306,97.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
38,16,25,294.217,81.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9769524947896714
39,13,29,251.818,96.0,0,33,False,25,Perfil Estable,Perfil Estable,0.03,0.0,Perfil Estable,0.9525969642617962
40,3,52,239.554,97.0,0,28,True,27,Perfil Estable,Junior Vulnerable,0.015,0.0,Perfil Estable,0.8915031027325078
41,10,10,251.818,96.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
42,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.971836055952732
43,6,27,265.615,94.0,0,29,True,22,Perfil Estable,Perfil Estable,0.01,0.0,Perfil Estable,0.9634441944503374
44,13,20,249.797,93.0,0,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
45,11,50,253.465,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
46,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.971836055952732
47,16,25,251.818,96.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9575255734023846
48,13,36,326.452,96.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9660899825181991
49,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
50,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
51,29,48,284.853,91.0,0,49,False,36,Saturado Logístico,Saturado Logístico,0.905,0.0,Saturado Logístico,0.957073767723192
52,11,50,251.818,96.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
53,8,16,237.656,99.0,0,32,False,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
54,13,36,239.554,97.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
55,13,36,275.312,98.0,0,33,True,30,Perfil Estable,Perfil Estable,0.01,0.0,Perfil Estable,0.9431702126694396
56,17,22,343.253,95.0,0,40,False,22,Saturado Logístico,Saturado Logístico,0.98,0.005,Saturado Logístico,0.9729867883221377
57,13,20,246.074,99.0,0,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
58,9,26,246.074,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
59,13,36,222.196,99.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
60,13,26,230.29,92.0,0,43,True,25,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,0.9525969642617962
61,15,15,264.249,97.0,0,41,True,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
62,13,36,308.593,95.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9660899825181991
63,18,13,237.656,99.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9971317829457366
64,18,51,378.884,92.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.975,0.01,Saturado Logístico,0.9485815011922094
65,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.971836055952732
66,18,13,246.288,91.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9971317829457366
67,17,22,313.532,96.0,0,40,False,22,Saturado Logístico,Saturado Logístico,0.97,0.005,Saturado Logístico,0.9757049076321771
68,9,26,246.074,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
69,12,31,284.853,91.0,0,40,True,25,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9697968939373179
70,16,25,326.452,96.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9778763302756159
71,10,10,249.797,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
72,18,51,265.017,88.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
73,13,20,330.061,100.0,0,43,True,38,Saturado Logístico,Saturado Logístico,0.86,0.0,Saturado Logístico,0.9633718632081596
74,14,25,326.452,96.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.935,0.0,Saturado Logístico,0.9620170428642345
75,12,31,253.465,93.0,0,40,True,25,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,0.9525969642617962
76,13,36,205.917,92.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
77,9,26,264.249,97.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
78,16,25,294.217,81.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9769524947896714
79,14,25,253.465,93.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9594134712625331
80,14,11,205.917,92.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
81,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
82,9,26,302.585,99.0,0,28,False,24,Saturado Logístico,Saturado Logístico,0.99,0.0,Saturado Logístico,0.9689242684349887
83,10,10,308.593,95.0,0,37,False,28,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,0.8070700857629063
84,12,17,284.853,91.0,0,31,True,25,Saturado Logístico,Saturado Logístico,0.925,0.0,Saturado Logístico,0.8731913893501619
85,14,25,306.345,93.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.955,0.0,Saturado Logístico,0.9620170428642345
86,11,50,236.629,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
87,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
88,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
89,18,51,378.884,92.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.975,0.01,Saturado Logístico,0.9485815011922094
90,13,20,280.549,98.0,0,43,True,38,Perfil Estable,Perfil Estable,0.115,0.0,Perfil Estable,0.9425969642617962
91,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
92,14,25,246.288,91.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9594134712625331
93,14,12,284.031,97.0,0,34,True,25,Perfil Estable,Perfil Estable,0.02,0.0,Perfil Estable,0.8575792294475216
94,12,31,284.031,97.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.965,0.0,Saturado Logístico,0.9510569986870526
95,18,13,239.554,97.0,1,50,True,31,Perfil Estable,Perfil Estable,0.0,0.005,Perfil Estable,1.0
96,9,26,264.604,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
97,11,50,230.29,92.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
98,14,25,222.196,99.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9594134712625331
99,9,26,326.452,96.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.971836055952732
100,12,31,253.957,95.0,0,40,True,25,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,0.9525969642617962
101,16,25,284.853,91.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9769524947896714
102,3,52,265.615,94.0,0,28,True,27,Junior Vulnerable,Junior Vulnerable,0.015,0.0,Junior Vulnerable,0.9580968972674923
103,18,13,377.55,94.0,0,50,True,31,Perfil Estable,Perfil Estable,0.005,0.01,Perfil Estable,0.862091562819918
104,10,10,246.074,99.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
105,18,51,284.031,97.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.99,0.0,Saturado Logístico,0.9588153353118344
106,13,36,253.465,93.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
107,9,26,313.532,96.0,0,30,False,19,Saturado Logístico,Saturado Logístico,0.975,0.0,Saturado Logístico,0.971836055952732
108,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
109,14,5,239.554,97.0,0,39,True,24,Perfil Estable,Perfil Estable,0.0,0.08,Perfil Estable,1.0
110,14,12,330.061,100.0,0,34,True,25,Perfil Estable,Perfil Estable,0.105,0.02,Perfil Estable,0.8165767298517069
111,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
112,9,26,253.957,95.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
113,10,10,244.387,98.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
114,12,29,230.29,92.0,0,48,False,33,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
115,14,12,280.549,98.0,0,34,True,25,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,1.0
116,18,51,326.452,96.0,0,38,True,31,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9674343667007028
117,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
118,10,10,268.519,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
119,13,14,271.219,95.0,0,40,True,34,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
120,10,10,275.089,96.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
121,14,11,236.629,93.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
122,14,25,264.249,97.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9594134712625331
123,16,25,253.957,95.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9575255734023846
124,11,50,239.554,97.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
125,9,26,302.585,99.0,0,30,False,19,Saturado Logístico,Saturado Logístico,0.935,0.0,Saturado Logístico,0.9689242684349887
126,17,22,237.656,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9596969960458236
127,9,26,264.249,97.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
128,18,51,244.387,98.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
129,4,16,205.917,92.0,0,28,False,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.972318304650832
130,12,31,284.031,97.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.965,0.0,Saturado Logístico,0.9510569986870526
131,9,26,275.312,98.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9568041401056873
132,18,51,377.55,94.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.985,0.0,Saturado Logístico,0.9385815011922094
133,14,12,237.656,99.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
134,11,50,284.031,97.0,0,36,True,23,Saturado Logístico,Saturado Logístico,0.975,0.0,Saturado Logístico,0.9285991379929089
135,9,26,253.465,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
136,11,50,241.476,92.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
137,9,26,284.853,91.0,0,28,False,24,Saturado Logístico,Saturado Logístico,0.88,0.0,Saturado Logístico,0.9655205623660479
138,9,26,253.957,95.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
139,14,25,265.615,94.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9594134712625331
140,16,14,222.196,99.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
141,18,51,249.797,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
142,9,26,261.306,97.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
143,13,29,302.585,99.0,0,33,False,25,Saturado Logístico,Saturado Logístico,0.985,0.0,Saturado Logístico,0.9637419533897175
144,13,36,306.345,93.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9660899825181991
145,16,14,264.604,93.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
146,14,25,343.253,95.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.95,0.0,Saturado Logístico,0.9592989235541951
147,14,25,306.345,93.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.955,0.0,Saturado Logístico,0.9620170428642345
148,17,22,343.253,95.0,0,40,False,22,Saturado Logístico,Saturado Logístico,0.98,0.005,Saturado Logístico,0.9729867883221377
149,18,51,239.554,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
150,8,11,275.089,96.0,1,33,False,25,Perfil Estable,Perfil Estable,0.0,0.035,Perfil Estable,0.9106512987999392
151,3,52,377.55,94.0,0,28,True,27,Saturado Logístico,Saturado Logístico,0.695,0.03,Saturado Logístico,0.759479511201777
152,18,51,241.476,92.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
153,17,22,237.656,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9596969960458236
154,10,10,246.074,99.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
155,10,10,230.29,92.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
156,18,51,378.884,92.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.975,0.01,Saturado Logístico,0.9485815011922094
157,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
158,13,36,343.253,95.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9633718632081596
159,11,49,377.55,94.0,0,36,False,21,Saturado Logístico,Saturado Logístico,0.98,0.0,Saturado Logístico,0.9329047705689032
160,10,10,268.519,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
161,9,26,268.519,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
162,12,31,284.853,91.0,0,40,True,25,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9697968939373179
163,12,31,306.345,93.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.975,0.005,Saturado Logístico,0.9660899825181991
164,10,10,253.465,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
165,9,15,302.585,99.0,0,50,False,24,Perfil Estable,Perfil Estable,0.09,0.045,Perfil Estable,0.750267297868736
166,13,36,326.452,96.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9660899825181991
167,13,36,378.884,92.0,0,33,True,30,Saturado Logístico,Saturado Logístico,0.99,0.01,Saturado Logístico,0.9620447926929135
168,14,11,261.306,97.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
169,4,16,253.957,95.0,0,28,False,25,Junior Vulnerable,Perfil Estable,0.0,0.0,Junior Vulnerable,0.787681695349168
170,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
171,9,26,280.549,98.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
172,18,13,275.089,96.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9971317829457366
173,11,50,253.465,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
174,12,31,284.031,97.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.965,0.0,Saturado Logístico,0.9510569986870526
175,10,10,284.031,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.045,0.0,Perfil Estable,0.8531944349338636
176,18,51,249.797,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
177,15,15,264.249,97.0,0,41,True,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
178,4,16,275.312,98.0,0,28,False,25,Junior Vulnerable,Perfil Estable,0.0,0.0,Junior Vulnerable,0.9471084469415245
179,18,51,343.253,95.0,0,38,True,31,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9624936828931664
180,13,36,205.917,92.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
181,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9826561954345828
182,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
183,3,52,237.656,99.0,0,28,True,27,Perfil Estable,Junior Vulnerable,0.015,0.0,Perfil Estable,0.8915031027325078
184,13,20,253.957,95.0,0,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
185,13,36,265.017,88.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
186,9,26,265.615,94.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
187,10,10,308.593,95.0,0,37,False,28,Perfil Estable,Perfil Estable,0.005,0.0,Perfil Estable,0.8070700857629063
188,13,36,326.452,96.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9660899825181991
189,17,22,237.656,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9596969960458236
190,13,20,265.017,88.0,1,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
191,9,26,280.549,98.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
192,11,50,246.074,99.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9629801294650951
193,4,16,230.29,92.0,0,28,False,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9523183046508321
194,4,16,237.656,99.0,0,28,False,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9523183046508321
195,14,25,222.196,99.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9594134712625331
196,9,26,253.957,95.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
197,14,5,284.031,97.0,1,39,True,24,Perfil de Inestabilidad,Perfil Estable,0.07,0.395,Perfil de Inestabilidad,0.7889900020404
198,9,26,275.312,98.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9568041401056873
199,13,36,264.604,93.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
200,18,51,246.074,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
201,16,25,377.55,94.0,0,41,True,23,Saturado Logístico,Saturado Logístico,0.995,0.0,Saturado Logístico,0.9636950088564563
202,16,25,239.554,97.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9575255734023846
203,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
204,14,12,275.312,98.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
205,16,25,294.217,81.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0,Saturado Logístico,0.9769524947896714
206,18,13,377.55,94.0,0,50,True,31,Perfil Estable,Perfil Estable,0.005,0.01,Perfil Estable,0.862091562819918
207,14,12,237.656,99.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
208,9,15,378.884,92.0,1,50,False,24,Perfil de Inestabilidad,Perfil de Inestabilidad,0.03,0.78,Perfil de Inestabilidad,0.909734892633492
209,9,26,268.519,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
210,14,5,230.29,92.0,0,39,True,24,Perfil Estable,Perfil Estable,0.0,0.08,Perfil Estable,1.0
211,9,26,222.196,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
212,10,10,268.519,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
213,13,36,265.615,94.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9525969642617962
214,16,14,222.196,99.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
215,18,51,253.957,95.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9773704811488685
216,10,10,246.288,91.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
