ID,Service_time,Distance_Residence_Work,Work_load_Average_day,Hit_target,Disciplinary_failure,Age,Social_drinker,Body_mass_index,Perfil_Riesgo,Perfil_Final_IA,Prob_Saturacion,Prob_Inestabilidad
67,17,22,313.532,96.0,0,40,False,22,Saturado Logístico,Saturado Logístico,0.97,0.005
68,9,26,246.074,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
69,12,31,284.853,91.0,0,40,True,25,Saturado Logístico,Saturado Logístico,1.0,0.0
70,16,25,326.452,96.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
71,10,10,249.797,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
72,18,51,265.017,88.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
73,13,20,330.061,100.0,0,43,True,38,Saturado Logístico,Saturado Logístico,0.86,0.0
74,14,25,326.452,96.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.935,0.0
75,12,31,253.465,93.0,0,40,True,25,Perfil Estable,Perfil Estable,0.005,0.0
76,13,36,205.917,92.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
77,9,26,264.249,97.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
78,16,25,294.217,81.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
79,14,25,253.465,93.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
80,14,11,205.917,92.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0
81,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
82,9,26,302.585,99.0,0,28,False,24,Saturado Logístico,Saturado Logístico,0.99,0.0
83,10,10,308.593,95.0,0,37,False,28,Perfil Estable,Perfil Estable,0.005,0.0
84,12,17,284.853,91.0,0,31,True,25,Saturado Logístico,Saturado Logístico,0.925,0.0
85,14,25,306.345,93.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.955,0.0
86,11,50,236.629,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
87,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
88,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
89,18,51,378.884,92.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.975,0.01
90,13,20,280.549,98.0,0,43,True,38,Perfil Estable,Perfil Estable,0.115,0.0
91,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
92,14,25,246.288,91.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
93,14,12,284.031,97.0,0,34,True,25,Perfil Estable,Perfil Estable,0.02,0.0
94,12,31,284.031,97.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.965,0.0
95,18,13,239.554,97.0,1,50,True,31,Perfil Estable,Perfil Estable,0.0,0.005
96,9,26,264.604,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
97,11,50,230.29,92.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
98,14,25,222.196,99.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
99,9,26,326.452,96.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
100,12,31,253.957,95.0,0,40,True,25,Perfil Estable,Perfil Estable,0.005,0.0
101,16,25,284.853,91.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
102,3,52,265.615,94.0,0,28,True,27,Junior Vulnerable,Junior Vulnerable,0.015,0.0
103,18,13,377.55,94.0,0,50,True,31,Perfil Estable,Perfil Estable,0.005,0.01
104,10,10,246.074,99.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
105,18,51,284.031,97.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.99,0.0
106,13,36,253.465,93.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
107,9,26,313.532,96.0,0,30,False,19,Saturado Logístico,Saturado Logístico,0.975,0.0
108,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
109,14,5,239.554,97.0,0,39,True,24,Perfil Estable,Perfil Estable,0.0,0.08
110,14,12,330.061,100.0,0,34,True,25,Perfil Estable,Perfil Estable,0.105,0.02
111,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
112,9,26,253.957,95.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
113,10,10,244.387,98.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
114,12,29,230.29,92.0,0,48,False,33,Perfil Estable,Perfil Estable,0.0,0.0
115,14,12,280.549,98.0,0,34,True,25,Perfil Estable,Perfil Estable,0.005,0.0
116,18,51,326.452,96.0,0,38,True,31,Saturado Logístico,Saturado Logístico,1.0,0.0
117,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
118,10,10,268.519,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
119,13,14,271.219,95.0,0,40,True,34,Perfil Estable,Perfil Estable,0.0,0.0
120,10,10,275.089,96.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
121,14,11,236.629,93.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0
122,14,25,264.249,97.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
123,16,25,253.957,95.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
124,11,50,239.554,97.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
125,9,26,302.585,99.0,0,30,False,19,Saturado Logístico,Saturado Logístico,0.935,0.0
126,17,22,237.656,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0
127,9,26,264.249,97.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
128,18,51,244.387,98.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
129,4,16,205.917,92.0,0,28,False,25,Perfil Estable,Perfil Estable,0.0,0.0
130,12,31,284.031,97.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.965,0.0
131,9,26,275.312,98.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
132,18,51,377.55,94.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.985,0.0
133,14,12,237.656,99.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0
134,11,50,284.031,97.0,0,36,True,23,Saturado Logístico,Saturado Logístico,0.975,0.0
135,9,26,253.465,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
136,11,50,241.476,92.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
137,9,26,284.853,91.0,0,28,False,24,Saturado Logístico,Saturado Logístico,0.88,0.0
138,9,26,253.957,95.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
139,14,25,265.615,94.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
140,16,14,222.196,99.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0
141,18,51,249.797,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
142,9,26,261.306,97.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
143,13,29,302.585,99.0,0,33,False,25,Saturado Logístico,Saturado Logístico,0.985,0.0
144,13,36,306.345,93.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
145,16,14,264.604,93.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0
146,14,25,343.253,95.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.95,0.0
147,14,25,306.345,93.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.955,0.0
148,17,22,343.253,95.0,0,40,False,22,Saturado Logístico,Saturado Logístico,0.98,0.005
149,18,51,239.554,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
150,8,11,275.089,96.0,1,33,False,25,Perfil Estable,Perfil Estable,0.0,0.035
151,3,52,377.55,94.0,0,28,True,27,Saturado Logístico,Saturado Logístico,0.695,0.03
152,18,51,241.476,92.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
153,17,22,237.656,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0
154,10,10,246.074,99.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
155,10,10,230.29,92.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
156,18,51,378.884,92.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.975,0.01
157,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
158,13,36,343.253,95.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
159,11,49,377.55,94.0,0,36,False,21,Saturado Logístico,Saturado Logístico,0.98,0.0
160,10,10,268.519,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
161,9,26,268.519,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
162,12,31,284.853,91.0,0,40,True,25,Saturado Logístico,Saturado Logístico,1.0,0.0
163,12,31,306.345,93.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.975,0.005
164,10,10,253.465,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
165,9,15,302.585,99.0,0,50,False,24,Perfil Estable,Perfil Estable,0.09,0.045
166,13,36,326.452,96.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
167,13,36,378.884,92.0,0,33,True,30,Saturado Logístico,Saturado Logístico,0.99,0.01
168,14,11,261.306,97.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0
169,4,16,253.957,95.0,0,28,False,25,Junior Vulnerable,Perfil Estable,0.0,0.0
170,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
171,9,26,280.549,98.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
172,18,13,275.089,96.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
173,11,50,253.465,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
174,12,31,284.031,97.0,0,40,True,25,Saturado Logístico,Saturado Logístico,0.965,0.0
175,10,10,284.031,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.045,0.0
176,18,51,249.797,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
177,15,15,264.249,97.0,0,41,True,28,Perfil Estable,Perfil Estable,0.0,0.0
178,4,16,275.312,98.0,0,28,False,25,Junior Vulnerable,Perfil Estable,0.0,0.0
179,18,51,343.253,95.0,0,38,True,31,Saturado Logístico,Saturado Logístico,1.0,0.0
180,13,36,205.917,92.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
181,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
182,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
183,3,52,237.656,99.0,0,28,True,27,Perfil Estable,Junior Vulnerable,0.015,0.0
184,13,20,253.957,95.0,0,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0
185,13,36,265.017,88.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
186,9,26,265.615,94.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
187,10,10,308.593,95.0,0,37,False,28,Perfil Estable,Perfil Estable,0.005,0.0
188,13,36,326.452,96.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
189,17,22,237.656,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0
190,13,20,265.017,88.0,1,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0
191,9,26,280.549,98.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
192,11,50,246.074,99.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
193,4,16,230.29,92.0,0,28,False,25,Perfil Estable,Perfil Estable,0.0,0.0
194,4,16,237.656,99.0,0,28,False,25,Perfil Estable,Perfil Estable,0.0,0.0
195,14,25,222.196,99.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
196,9,26,253.957,95.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
197,14,5,284.031,97.0,1,39,True,24,Perfil de Inestabilidad,Perfil Estable,0.07,0.395
198,9,26,275.312,98.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
199,13,36,264.604,93.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
200,18,51,246.074,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
201,16,25,377.55,94.0,0,41,True,23,Saturado Logístico,Saturado Logístico,0.995,0.0
202,16,25,239.554,97.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
203,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
204,14,12,275.312,98.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0
205,16,25,294.217,81.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
206,18,13,377.55,94.0,0,50,True,31,Perfil Estable,Perfil Estable,0.005,0.01
207,14,12,237.656,99.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0
208,9,15,378.884,92.0,1,50,False,24,Perfil de Inestabilidad,Perfil de Inestabilidad,0.03,0.78
209,9,26,268.519,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
210,14,5,230.29,92.0,0,39,True,24,Perfil Estable,Perfil Estable,0.0,0.08
211,9,26,222.196,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
212,10,10,268.519,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
213,13,36,265.615,94.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
214,16,14,222.196,99.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0
215,18,51,253.957,95.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
216,10,10,246.288,91.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
217,14,11,205.917,92.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0
218,16,25,284.853,91.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
219,18,13,237.656,99.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
220,18,13,275.089,96.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
221,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
222,18,51,268.519,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
223,14,12,326.452,96.0,0,34,True,25,Perfil Estable,Perfil Estable,0.105,0.02
224,9,26,264.249,97.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
225,11,50,326.452,96.0,0,36,True,23,Saturado Logístico,Saturado Logístico,0.99,0.0
226,18,51,236.629,93.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
227,12,17,268.519,93.0,0,31,True,25,Perfil Estable,Perfil Estable,0.05,0.0
228,11,50,236.629,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
229,18,13,246.288,91.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
230,16,14,264.604,93.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0
231,9,26,265.017,88.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
232,18,51,302.585,99.0,0,38,True,31,Saturado Logístico,Saturado Logístico,1.0,0.0
233,8,11,230.29,92.0,0,33,False,25,Perfil Estable,Perfil Estable,0.0,0.0
234,14,12,261.756,87.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0
235,9,26,246.288,91.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
236,18,51,239.409,98.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
237,16,25,284.853,91.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
238,13,29,302.585,99.0,0,33,False,25,Saturado Logístico,Saturado Logístico,0.985,0.0
239,16,25,251.818,96.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
240,14,25,268.519,93.0,0,47,False,32,Perfil Estable,Perfil Estable,0.0,0.0
241,9,26,246.074,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
242,18,51,284.031,97.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.99,0.0
243,9,26,241.476,92.0,1,28,False,24,Perfil Estable,Perfil Estable,0.0,0.005
244,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
245,18,51,343.253,95.0,0,38,True,31,Saturado Logístico,Saturado Logístico,1.0,0.0
246,8,16,268.519,93.0,0,32,False,25,Perfil Estable,Perfil Estable,0.0,0.0
247,16,14,222.196,99.0,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0
248,11,50,253.957,95.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
249,9,26,265.017,88.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
250,18,51,205.917,92.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
251,10,10,244.387,98.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
252,14,12,239.554,97.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0
253,17,22,246.074,99.0,0,40,False,22,Perfil Estable,Perfil Estable,0.0,0.0
254,14,25,284.853,91.0,0,47,False,32,Saturado Logístico,Saturado Logístico,0.97,0.0
255,7,42,265.615,94.0,0,27,False,21,Perfil Estable,Perfil Estable,0.055,0.0
256,11,50,326.452,96.0,0,36,True,23,Saturado Logístico,Saturado Logístico,0.99,0.0
257,13,36,241.476,92.0,1,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
258,14,11,244.387,98.0,0,37,False,29,Perfil Estable,Perfil Estable,0.0,0.0
259,16,25,251.818,96.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
260,3,52,268.519,93.0,0,28,True,27,Junior Vulnerable,Junior Vulnerable,0.015,0.0
261,18,51,264.249,97.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
262,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
263,9,26,308.593,95.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
264,18,13,253.465,93.0,1,50,True,31,Perfil Estable,Perfil Estable,0.0,0.005
265,13,36,308.593,95.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
266,11,50,239.554,97.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
267,16,25,377.55,94.0,0,41,True,23,Saturado Logístico,Saturado Logístico,0.995,0.0
268,16,25,244.387,98.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
269,9,26,308.593,95.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
270,9,26,236.629,93.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
271,13,36,308.593,95.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
272,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
273,18,51,251.818,96.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
274,10,10,275.089,96.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
275,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
276,11,49,244.387,98.0,0,36,False,21,Perfil Estable,Perfil Estable,0.04,0.0
277,8,16,264.249,97.0,0,32,False,25,Perfil Estable,Perfil Estable,0.0,0.0
278,11,50,265.017,88.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
279,10,10,308.593,95.0,0,37,False,28,Perfil Estable,Perfil Estable,0.005,0.0
280,12,17,246.288,91.0,0,31,True,25,Perfil Estable,Perfil Estable,0.0,0.0
281,3,52,378.884,92.0,0,28,True,27,Saturado Logístico,Saturado Logístico,0.72,0.04
282,14,12,275.312,98.0,0,34,True,25,Perfil Estable,Perfil Estable,0.0,0.0
283,9,26,253.465,93.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
284,16,25,253.957,95.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
285,18,13,275.312,98.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
286,3,52,246.074,99.0,0,28,True,27,Junior Vulnerable,Junior Vulnerable,0.015,0.0
287,11,50,241.476,92.0,1,36,True,23,Perfil Estable,Perfil Estable,0.0,0.01
288,4,16,378.884,92.0,1,28,False,25,Perfil de Inestabilidad,Perfil de Inestabilidad,0.09,0.69
289,9,26,280.549,98.0,0,28,False,24,Perfil Estable,Perfil Estable,0.0,0.0
290,10,10,241.476,92.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
291,10,10,253.465,93.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
