ID,Perfil_Riesgo,Prediccion_IA,Hit_target
204,Perfil Estable,Perfil Estable,98.0
205,Saturado Logístico,Saturado Logístico,81.0
206,Perfil Estable,Perfil Estable,94.0
207,Perfil Estable,Perfil Estable,99.0
208,Perfil de Inestabilidad,Perfil de Inestabilidad,92.0
209,Perfil Estable,Perfil Estable,93.0
210,Perfil Estable,Perfil Estable,92.0
211,Perfil Estable,Perfil Estable,99.0
212,Perfil Estable,Perfil Estable,93.0
213,Perfil Estable,Perfil Estable,94.0
214,Perfil Estable,Perfil Estable,99.0
215,Perfil Estable,Perfil Estable,95.0
216,Perfil Estable,Perfil Estable,91.0
217,Perfil Estable,Perfil Estable,92.0
218,Saturado Logístico,Saturado Logístico,91.0
219,Perfil Estable,Perfil Estable,99.0
220,Perfil Estable,Perfil Estable,96.0
221,Saturado Logístico,Saturado Logístico,93.0
222,Perfil Estable,Perfil Estable,93.0
223,Perfil Estable,Perfil Estable,96.0
224,Perfil Estable,Perfil Estable,97.0
225,Saturado Logístico,Saturado Logístico,96.0
226,Perfil Estable,Perfil Estable,93.0
227,Perfil Estable,Perfil Estable,93.0
228,Perfil Estable,Perfil Estable,93.0
229,Perfil Estable,Perfil Estable,91.0
230,Perfil Estable,Perfil Estable,93.0
231,Perfil Estable,Perfil Estable,88.0
232,Saturado Logístico,Saturado Logístico,99.0
233,Perfil Estable,Perfil Estable,92.0
234,Perfil Estable,Perfil Estable,87.0
235,Perfil Estable,Perfil Estable,91.0
236,Perfil Estable,Perfil Estable,98.0
237,Saturado Logístico,Saturado Logístico,91.0
238,Saturado Logístico,Saturado Logístico,99.0
239,Perfil Estable,Perfil Estable,96.0
240,Perfil Estable,Perfil Estable,93.0
241,Perfil Estable,Perfil Estable,99.0
242,Saturado Logístico,Saturado Logístico,97.0
243,Perfil Estable,Perfil Estable,92.0
244,Perfil Estable,Perfil Estable,99.0
245,Saturado Logístico,Saturado Logístico,95.0
246,Perfil Estable,Perfil Estable,93.0
247,Perfil Estable,Perfil Estable,99.0
248,Perfil Estable,Perfil Estable,95.0
249,Perfil Estable,Perfil Estable,88.0
250,Perfil Estable,Perfil Estable,92.0
251,Perfil Estable,Perfil Estable,98.0
252,Perfil Estable,Perfil Estable,97.0
253,Perfil Estable,Perfil Estable,99.0
254,Saturado Logístico,Saturado Logístico,91.0
255,Perfil Estable,Perfil Estable,94.0
256,Saturado Logístico,Saturado Logístico,96.0
257,Perfil Estable,Perfil Estable,92.0
258,Perfil Estable,Perfil Estable,98.0
259,Perfil Estable,Perfil Estable,96.0
260,Junior Vulnerable,Junior Vulnerable,93.0
261,Perfil Estable,Perfil Estable,97.0
262,Perfil Estable,Perfil Estable,99.0
263,Saturado Logístico,Saturado Logístico,95.0
264,Perfil Estable,Perfil Estable,93.0
265,Saturado Logístico,Saturado Logístico,95.0
266,Perfil Estable,Perfil Estable,97.0
267,Saturado Logístico,Saturado Logístico,94.0
268,Perfil Estable,Perfil Estable,98.0
269,Saturado Logístico,Saturado Logístico,95.0
270,Perfil Estable,Perfil Estable,93.0
271,Saturado Logístico,Saturado Logístico,95.0
272,Perfil Estable,Perfil Estable,99.0
273,Perfil Estable,Perfil Estable,96.0
274,Perfil Estable,Perfil Estable,96.0
275,Perfil Estable,Perfil Estable,97.0
276,Perfil Estable,Perfil Estable,98.0
277,Perfil Estable,Perfil Estable,97.0
278,Perfil Estable,Perfil Estable,88.0
279,Perfil Estable,Perfil Estable,95.0
280,Perfil Estable,Perfil Estable,91.0
281,Saturado Logístico,Saturado Logístico,92.0
282,Perfil Estable,Perfil Estable,98.0
283,Perfil Estable,Perfil Estable,93.0
284,Perfil Estable,Perfil Estable,95.0
285,Perfil Estable,Perfil Estable,98.0
286,Junior Vulnerable,Junior Vulnerable,99.0
287,Perfil Estable,Perfil Estable,92.0
288,Perfil de Inestabilidad,Perfil de Inestabilidad,92.0
289,Perfil Estable,Perfil Estable,98.0
290,Perfil Estable,Perfil Estable,92.0
291,Perfil Estable,Perfil Estable,93.0
292,Saturado Logístico,Saturado Logístico,91.0
293,Perfil Estable,Perfil Estable,98.0
294,Perfil Estable,Perfil Estable,93.0
295,Perfil Estable,Perfil Estable,93.0
296,Perfil Estable,Perfil Estable,93.0
297,Saturado Logístico,Saturado Logístico,95.0
298,Saturado Logístico,Saturado Logístico,93.0
299,Perfil Estable,Perfil Estable,92.0
300,Perfil Estable,Perfil Estable,92.0
301,Perfil Estable,Perfil Estable,95.0
302,Perfil Estable,Perfil Estable,99.0
303,Saturado Logístico,Saturado Logístico,96.0
304,Perfil Estable,Perfil Estable,94.0
305,Perfil Estable,Perfil Estable,93.0
306,Junior Vulnerable,Junior Vulnerable,99.0
307,Saturado Logístico,Saturado Logístico,91.0
308,Perfil Estable,Perfil Estable,88.0
309,Perfil Estable,Perfil Estable,93.0
310,Perfil Estable,Perfil Estable,97.0
311,Perfil Estable,Perfil Estable,93.0
312,Saturado Logístico,Saturado Logístico,97.0
313,Perfil Estable,Perfil Estable,99.0
314,Perfil Estable,Perfil Estable,99.0
315,Perfil Estable,Perfil Estable,98.0
316,Perfil Estable,Perfil Estable,95.0
317,Perfil Estable,Perfil Estable,99.0
318,Saturado Logístico,Saturado Logístico,97.0
319,Saturado Logístico,Saturado Logístico,94.0
320,Perfil Estable,Perfil Estable,99.0
321,Perfil Estable,Perfil Estable,92.0
322,Perfil Estable,Perfil Estable,92.0
323,Perfil Estable,Perfil Estable,97.0
324,Perfil Estable,Perfil Estable,97.0
325,Perfil Estable,Perfil Estable,100.0
326,Perfil Estable,Perfil Estable,94.0
327,Saturado Logístico,Saturado Logístico,95.0
328,Saturado Logístico,Saturado Logístico,91.0
329,Saturado Logístico,Saturado Logístico,96.0
330,Perfil Estable,Perfil Estable,93.0
331,Saturado Logístico,Saturado Logístico,81.0
332,Perfil Estable,Perfil Estable,95.0
333,Perfil Estable,Perfil Estable,93.0
334,Junior Vulnerable,Junior Vulnerable,97.0
335,Perfil Estable,Perfil Estable,91.0
336,Perfil Estable,Perfil Estable,99.0
337,Junior Vulnerable,Junior Vulnerable,99.0
338,Perfil Estable,Perfil Estable,92.0
339,Perfil Estable,Perfil Estable,95.0
340,Saturado Logístico,Saturado Logístico,99.0
341,Perfil Estable,Perfil Estable,92.0
342,Perfil Estable,Perfil Estable,96.0
343,Perfil Estable,Perfil Estable,93.0
344,Saturado Logístico,Saturado Logístico,81.0
345,Perfil Estable,Perfil Estable,93.0
346,Perfil Estable,Perfil Estable,95.0
347,Perfil Estable,Perfil Estable,92.0
348,Perfil Estable,Perfil Estable,88.0
349,Perfil Estable,Perfil Estable,99.0
350,Saturado Logístico,Saturado Logístico,95.0
351,Perfil Estable,Perfil Estable,96.0
352,Saturado Logístico,Saturado Logístico,95.0
353,Perfil Estable,Perfil Estable,99.0
354,Perfil Estable,Perfil Estable,97.0
355,Saturado Logístico,Saturado Logístico,96.0
356,Perfil Estable,Perfil Estable,97.0
357,Perfil Estable,Perfil Estable,99.0
358,Perfil Estable,Perfil Estable,94.0
359,Perfil Estable,Junior Vulnerable,92.0
360,Saturado Logístico,Saturado Logístico,96.0
361,Perfil Estable,Perfil Estable,97.0
362,Perfil Estable,Perfil Estable,92.0
363,Saturado Logístico,Saturado Logístico,97.0
364,Perfil Estable,Perfil Estable,87.0
365,Saturado Logístico,Saturado Logístico,96.0
366,Perfil Estable,Perfil Estable,97.0
367,Perfil Estable,Perfil Estable,96.0
368,Perfil Estable,Perfil Estable,99.0
369,Saturado Logístico,Saturado Logístico,100.0
370,Perfil Estable,Perfil Estable,91.0
371,Perfil Estable,Perfil Estable,99.0
372,Saturado Logístico,Saturado Logístico,91.0
373,Perfil Estable,Perfil Estable,92.0
374,Perfil Estable,Perfil Estable,92.0
375,Perfil Estable,Perfil Estable,93.0
376,Saturado Logístico,Saturado Logístico,96.0
377,Perfil Estable,Perfil Estable,98.0
378,Perfil Estable,Perfil Estable,93.0
379,Saturado Logístico,Saturado Logístico,96.0
380,Perfil Estable,Perfil Estable,97.0
381,Perfil Estable,Perfil Estable,88.0
382,Perfil Estable,Perfil Estable,99.0
383,Perfil Estable,Perfil Estable,92.0
384,Saturado Logístico,Saturado Logístico,97.0
385,Perfil Estable,Perfil Estable,98.0
386,Perfil Estable,Perfil Estable,93.0
